feature,importance,cumulative_importance
Fea225,0.0018324717704301192,0.8021524778686946
Fea63,0.0017931845921314849,0.8039456624608261
Fea473,0.0017728966094141029,0.8057185590702403
Fea845,0.0017674583798965135,0.8074860174501368
Fea172,0.0017308585000737836,0.8092168759502106
Fea282,0.0017166377265637862,0.8109335136767745
Fea263,0.001685500780398975,0.8126190144571734
Fea298,0.0016760783673031695,0.8142950928244767
Fea219,0.0016605503120743386,0.815955643136551
Fea996,0.0016517265304656504,0.8176073696670166
Fea876,0.00163598782793899,0.8192433574949556
Fea406,0.0016158758585423322,0.8208592333534979
Fea369,0.0016035581932278835,0.8224627915467257
Fea193,0.0015948158138157106,0.8240576073605415
Fea873,0.0015872354830642802,0.8256448428436057
Fea397,0.0015704029592303102,0.827215245802836
Fea776,0.0015663450645533252,0.8287815908673893
Fea921,0.0015641205565349809,0.8303457114239243
Fea938,0.0015592274617611604,0.8319049388856855
Fea746,0.0015031164527881868,0.8334080553384737
Fea645,0.0014965391481031479,0.8349045944865768
Fea115,0.001492554785227262,0.8363971492718041
Fea402,0.0014791208955620067,0.8378762701673661
Fea179,0.0014632353008915996,0.8393395054682578
Fea988,0.0014495890357231417,0.8407890945039809
Fea724,0.0014156414718566569,0.8422047359758376
Fea753,0.0014137262207430193,0.8436184621965805
Fea931,0.0014135076059702144,0.8450319698025508
Fea64,0.001403712699351069,0.8464356825019018
Fea341,0.0013955085191621557,0.847831191021064
Fea611,0.0013745778783909193,0.8492057688994549
Fea23,0.0013473029247627125,0.8505530718242176
Fea580,0.0013357249743946567,0.8518887967986122
Fea48,0.0013243801284571412,0.8532131769270693
Fea348,0.0013223111428669419,0.8545354880699363
Fea377,0.0013138309566298352,0.8558493190265661
Fea799,0.0012938219585028332,0.8571431409850689
Fea149,0.0012891229078638774,0.8584322638929328
Fea569,0.0012661683389575218,0.8596984322318904
Fea33,0.0012140385709923551,0.8609124708028827
Fea12,0.0011987195400188552,0.8621111903429015
Fea910,0.0011971436548356654,0.8633083339977372
Fea865,0.0011830867338126448,0.8644914207315498
Fea976,0.0011788318678386145,0.8656702525993885
Fea619,0.0011724112539265468,0.866842663853315
Fea901,0.0011707240447933168,0.8680133878981083
Fea818,0.0011697313752857938,0.8691831192733941
Fea321,0.001168678330924003,0.8703517976043181
Fea768,0.0011638282234272376,0.8715156258277453
Fea336,0.00115309830492267,0.872668724132668
Fea475,0.0011497687696072725,0.8738184929022753
Fea157,0.0011473479069062133,0.8749658408091815
Fea918,0.0011402502806205433,0.8761060910898021
Fea568,0.0011222482357750813,0.8772283393255772
Fea514,0.00111688736183309,0.8783452266874103
Fea844,0.0011075992694979816,0.8794528259569083
Fea835,0.0010896426344920846,0.8805424685914004
Fea520,0.0010577795210664558,0.8816002481124668
Fea972,0.0010427094945464888,0.8826429576070133
Fea176,0.0010377596440531655,0.8836807172510664
Fea685,0.001036183604611999,0.8847169008556784
Fea268,0.0010344910741953792,0.8857513919298738
Fea711,0.0010309899190167912,0.8867823818488907
Fea65,0.000991065923731983,0.8877734477726227
Fea575,0.0009886446775952916,0.888762092450218
Fea774,0.0009783141545869059,0.8897404066048049
Fea870,0.000968850538880594,0.8907092571436855
Fea673,0.0009671262776444482,0.89167638342133
Fea919,0.0009634547170956502,0.8926398381384257
Fea756,0.0009590025056632614,0.893598840644089
Fea797,0.0009577709897078963,0.894556611633797
Fea56,0.0009511204003526987,0.8955077320341497
Fea764,0.0009474107989569968,0.8964551428331067
Fea833,0.0009350177959161199,0.8973901606290228
Fea130,0.0009252151391333326,0.8983153757681561
Fea294,0.0009227087981349449,0.8992380845662911
Fea305,0.0009211325937971784,0.9001592171600883
Fea387,0.000916797600540325,0.9010760147606286
Fea164,0.0009151681081561846,0.9019911828687848
Fea155,0.0009019833578912315,0.902893166226676
Fea251,0.0008989347511935813,0.9037921009778697
Fea291,0.000898387051097503,0.9046904880289671
Fea360,0.0008892354595415316,0.9055797234885087
Fea807,0.0008870731887812786,0.9064667966772899
Fea994,0.0008866520951090579,0.907353448772399
Fea854,0.0008819279509852057,0.9082353767233842
Fea350,0.0008792433072703394,0.9091146200306545
Fea588,0.0008711088914320893,0.9099857289220865
Fea522,0.0008696522564051996,0.9108553811784917
Fea695,0.0008508131064249173,0.9117061942849166
Fea963,0.0008475356011642922,0.9125537298860809
Fea960,0.000839837804241279,0.9133935676903221
Fea159,0.0008376984220285089,0.9142312661123506
Fea915,0.0008275680450698431,0.9150588341574205
Fea158,0.000815747964065882,0.9158745821214864
Fea822,0.0007990898704768254,0.9166736719919633
Fea375,0.0007976937439616778,0.9174713657359249
Fea255,0.0007772862179591058,0.918248651953884
Fea805,0.0007749961983925326,0.9190236481522766
Fea617,0.0007735190084050875,0.9197971671606816
Fea738,0.0007620509908919467,0.9205592181515736
Fea411,0.0007614079753186505,0.9213206261268923
Fea496,0.0007603269716503289,0.9220809530985425
Fea7,0.0007418502998625054,0.9228228033984051
Fea527,0.0007391111934894016,0.9235619145918944
Fea678,0.0007338934104001985,0.9242958080022946
