feature,importance,cumulative_importance
Fea693,0.003017208964098143,0.659657507541219
Fea863,0.003001742321043108,0.6626592498622621
Fea847,0.0029886814509685997,0.6656479313132307
Fea874,0.0029467397031391774,0.6685946710163699
Fea479,0.0029181328185091254,0.6715128038348791
Fea493,0.002871159787139973,0.674383963622019
Fea503,0.002803104376774439,0.6771870679987935
Fea612,0.002797862978627033,0.6799849309774205
Fea912,0.002738785545179438,0.6827237165226
Fea413,0.0027025354713213086,0.6854262519939213
Fea295,0.0026994689285475284,0.6881257209224688
Fea220,0.0026968788273684314,0.6908225997498373
Fea40,0.002683062358632522,0.6935056621084698
Fea406,0.0026664187235775636,0.6961720808320473
Fea645,0.0026393327709234764,0.6988114136029707
Fea667,0.0025990212725923055,0.701410434875563
Fea88,0.0025912664664193927,0.7040017013419824
Fea998,0.002582763356987436,0.7065844646989698
Fea424,0.0025686765230144154,0.7091531412219843
Fea865,0.002561374858233414,0.7117145160802176
Fea562,0.00247528138421603,0.7141897974644337
Fea997,0.0024412195205170233,0.7166310169849507
Fea100,0.002423626990697578,0.7190546439756482
Fea369,0.0023970979078965673,0.7214517418835448
Fea341,0.002371966232716242,0.7238237081162611
Fea425,0.002314045931878659,0.7261377540481397
Fea256,0.0022939810094007563,0.7284317350575404
Fea173,0.00228941447514708,0.7307211495326875
Fea573,0.0022892435607068237,0.7330103930933943
Fea280,0.002222233398559055,0.7352326264919534
Fea186,0.0022091150749127693,0.7374417415668661
Fea360,0.002160643833359124,0.7396023854002253
Fea21,0.002138700926341649,0.7417410863265669
Fea803,0.002120040926568587,0.7438611272531355
Fea631,0.0020856205476068404,0.7459467478007423
Fea685,0.002084728856383378,0.7480314766571257
Fea411,0.002082488198592912,0.7501139648557186
Fea522,0.0020767241126998354,0.7521906889684185
Fea977,0.0020627983094254126,0.7542534872778439
Fea955,0.002062391232257599,0.7563158785101015
Fea389,0.0020119088064528925,0.7583277873165544
Fea950,0.0019964846606968906,0.7603242719772513
Fea732,0.0019583253758725656,0.7622825973531239
Fea44,0.0019486244549001002,0.7642312218080239
Fea248,0.0019320687878476288,0.7661632905958715
Fea714,0.001920243727963005,0.7680835343238345
Fea372,0.0019162674287229722,0.7699998017525574
Fea711,0.0018783086224709567,0.7718781103750284
Fea591,0.0018488695543555018,0.7737269799293839
Fea557,0.0018323236301046974,0.7755593035594885
Fea560,0.0018310539464648065,0.7773903575059533
Fea116,0.001801928483472758,0.779192285989426
Fea858,0.001764946154398689,0.7809572321438247
Fea27,0.0017601090352423693,0.7827173411790671
Fea12,0.001753309723833,0.7844706509029001
Fea752,0.001750851180178796,0.786221502083079
Fea417,0.001748857501821748,0.7879703595849007
Fea818,0.001718727700054202,0.7896890872849549
Fea763,0.0017077106846721285,0.791396797969627
Fea799,0.0016909735852973901,0.7930877715549244
Fea951,0.0016714746314562337,0.7947592461863806
Fea580,0.0016499573725458506,0.7964092035589264
Fea775,0.0016392319986413691,0.7980484355575678
Fea115,0.0016334618387488294,0.7996818973963166
Fea981,0.0016285631275229414,0.8013104605238395
Fea841,0.0016140417408959666,0.8029245022647354
