feature,importance,cumulative_importance
Fea159,0.004227969025968171,0.5763323211766659
Fea39,0.004192991621011836,0.5805253127976777
Fea409,0.00393283565483182,0.5844581484525095
Fea29,0.003856224362307052,0.5883143728148166
Fea357,0.003848084884536954,0.5921624576993535
Fea20,0.003691402844384303,0.5958538605437378
Fea400,0.003669631564431251,0.599523492108169
Fea162,0.003653849916588114,0.6031773420247571
Fea413,0.0036236102274056,0.6068009522521628
Fea985,0.003596851616584056,0.6103978038687469
Fea134,0.003529991776483211,0.61392779564523
Fea112,0.003526232256232085,0.6174540279014621
Fea731,0.0035209650758360345,0.6209749929772981
Fea304,0.003453538511903312,0.6244285314892014
Fea921,0.003411769776258504,0.6278403012654599
Fea150,0.0033259983073226002,0.6311662995727825
Fea763,0.0031491674381803137,0.6343154670109628
Fea881,0.003144464064526726,0.6374599310754895
Fea139,0.0031360946552975917,0.6405960257307871
Fea271,0.003130193431849522,0.6437262191626366
Fea242,0.003099798009538007,0.6468260171721746
Fea539,0.0030931637362649846,0.6499191809084396
Fea586,0.0030379084032779173,0.6529570893117175
Fea697,0.003003994930789456,0.655961084242507
Fea715,0.002985059792372045,0.6589461440348791
Fea188,0.0027381754307703216,0.6616843194656494
Fea328,0.002704118935794556,0.664388438401444
Fea1000,0.002618765258343034,0.667007203659787
Fea878,0.00252462769633557,0.6695318313561226
Fea469,0.002496139662970601,0.6720279710190932
Fea462,0.0024899274386457368,0.6745178984577389
Fea888,0.0024891821842162667,0.6770070806419551
Fea801,0.002484977601530468,0.6794920582434856
Fea248,0.0024753913630759126,0.6819674496065615
Fea118,0.002447573455017201,0.6844150230615788
Fea798,0.002422802147376786,0.6868378252089555
Fea393,0.0024156705385396933,0.6892534957474952
Fea724,0.002401109750773334,0.6916546054982685
Fea412,0.002371289270604767,0.6940258947688733
Fea167,0.0023619665207633557,0.6963878612896367
Fea511,0.0023494971720910535,0.6987373584617278
Fea821,0.0023419572410206036,0.7010793157027484
Fea265,0.002323165501892679,0.7034024812046411
Fea776,0.0023006040654499627,0.7057030852700911
Fea61,0.002282821277347769,0.7079859065474389
Fea319,0.002267074416427059,0.7102529809638659
Fea2,0.002266602107101125,0.7125195830709671
Fea735,0.002224335457401727,0.7147439185283688
Fea692,0.002214148745302603,0.7169580672736714
Fea738,0.0022126864053989997,0.7191707536790704
Fea156,0.0021931185095541736,0.7213638721886245
Fea742,0.002184946749448536,0.7235488189380731
Fea617,0.0021765329241171328,0.7257253518621902
Fea520,0.0021672278763815844,0.7278925797385718
Fea273,0.002154170608460986,0.7300467503470328
Fea566,0.002147069816443821,0.7321938201634767
Fea541,0.002146901575116553,0.7343407217385932
Fea491,0.0021458718623684632,0.7364865936009617
Fea287,0.0021455633759608836,0.7386321569769225
Fea258,0.0021425869019948934,0.7407747438789174
Fea483,0.0021409959446790265,0.7429157398235964
Fea635,0.002123232510337576,0.7450389723339339
Fea122,0.002075938225894448,0.7471149105598284
Fea976,0.002072826607446358,0.7491877371672747
Fea100,0.0020475436055022,0.7512352807727769
Fea711,0.002025613817036605,0.7532608945898135
Fea775,0.001995102344870262,0.7552559969346837
Fea963,0.0019780159412032664,0.757234012875887
Fea5,0.0019683716822619605,0.7592023845581489
Fea753,0.00195128593517233,0.7611536704933213
Fea256,0.001946455011143127,0.7631001255044644
Fea862,0.00193679589308505,0.7650369213975494
Fea699,0.0019290537192855192,0.766965975116835
Fea616,0.0019003011930308691,0.7688662763098658
Fea22,0.0018986211446858675,0.7707648974545517
Fea741,0.0018965791630499967,0.7726614766176017
Fea336,0.0018937403799148334,0.7745552169975165
Fea847,0.0018755588243861453,0.7764307758219027
Fea599,0.0018465441761385836,0.7782773199980413
Fea305,0.0018333067896662018,0.7801106267877075
Fea803,0.0018264486702456709,0.7819370754579531
Fea972,0.0018069631925741163,0.7837440386505272
Fea960,0.0018042675045601064,0.7855483061550873
Fea871,0.001793811291613919,0.7873421174467012
Fea717,0.0017796473769585324,0.7891217648236598
Fea935,0.0017686793403223473,0.7908904441639821
Fea434,0.0017623314244280801,0.7926527755884102
Fea951,0.0017569360626843973,0.7944097116510945
Fea201,0.0017556957421908954,0.7961654073932855
Fea447,0.0017513781998644887,0.7979167855931499
Fea123,0.00171637873786185,0.7996331643310118
Fea702,0.001689384964468248,0.8013225492954801
Fea931,0.0016872928419996592,0.8030098421374797
Fea194,0.0016811295017454425,0.8046909716392252
Fea638,0.0016352090833179032,0.8063261807225431
Fea25,0.001597888060631566,0.8079240687831747
Fea751,0.0015761436408363906,0.809500212424011
Fea608,0.0015667627376174617,0.8110669751616285
Fea191,0.001564434350367342,0.8126314095119959
Fea340,0.001559943614717131,0.814191353126713
